Companies;Company Sectors;Company Headquarters;Countries;Regions;Response Sectors;Backdate;Title;Responded To;Tags;Responded;Authors;URL;Link to Company Page;Story;Response
PepsiCo;Food & beverage;US;RU|UA;Europe & Central Asia;Food & beverage;16.08.2023;PepsiCo did not respond to follow-up letter;CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses;Conflict & Peace|Security Issues & Conflict Zones|Trade|UN Guiding Principles on Business & Human Rights (UNGPs);No;;https://www.business-humanrights.org/en/latest-news/pepsico-did-not-respond-to-follow-up-letter/;https://www.business-humanrights.org/en/companies/pepsico/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;ID;;Mining;22.09.2023;Vale's response;Indonesia: 104 organisations sign letter urging Vale & investors to take action on alleged human rights impacts arising from Sorowako nickel project;Access to Water|Clean, Healthy & Sustainable Environment|Economic, Social, and Cultural Rights|Freedom of Expression|Water pollution;Yes;;https://www.business-humanrights.org/en/latest-news/vales-response-3/;https://www.business-humanrights.org/en/companies/vale/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;MM;;;17.10.2023;H&M's response to allegations of abuses in Myanmar garment factories - Nov 2023 update;"Myanmar: Workers at alleged H&M supplier demand higher wages & full-time contracts; Incl. co. Response";Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/hms-response-to-allegations-of-abuses-in-myanmar-garment-factories-nov-2023-update/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Inditex;Clothing & textile|Footwear|Retail;ES;MM;;;12.10.2023;Inditex's response to allegations of abuses in Myanmar garment factories - Nov 2023 update;"Myanmar: Garment workers at Lucky Fortune factory reportedly face frequent military visits as they manufacture their clothes; incl. co. Responses";Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/inditexs-response-to-allegations-of-abuses-in-myanmar-garment-factories-nov-2023-update/;https://www.business-humanrights.org/en/companies/inditex/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;MM;;;17.10.2023;adidas' response to allegations of abuses in Myanmar garment factories - Nov 2023 update;;Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/adidas-response-to-allegations-of-abuses-in-myanmar-garment-factories-nov-2023-update/;https://www.business-humanrights.org/en/companies/adidas/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;UZ;;Renewable energy|Solar energy;06.10.2023;TotalEnergies responded;Uzbekistan: TotalEnergies' solar project under scrutiny for allegedly exacerbating local gender inequalities;Gender Discrimination|Just transition|Local employment, procurement and skills development;Yes;;https://www.business-humanrights.org/en/latest-news/totalenergies-responded/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;PH;;Clothing & textile;23.10.2023;adidas' response to Partido Manggagawa's rejoinder;Philippines: 4,100 workers lost jobs due to closure of factories that supply to adidas, incl. cos. responses;Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/adidas-response-to-partido-manggagawas-rejoinder/;https://www.business-humanrights.org/en/companies/adidas/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;GB;Global;Oil, gas & coal;30.10.2023;Shell responded;Shell criticized for allegedly promoting fossil fuels to a young audience;Climate Crisis;Yes;;https://www.business-humanrights.org/en/latest-news/shell-responded/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Mercedes-Benz Group;Automobile & other motor vehicles;DE;BR;;;06.11.2023;Response by Mercedes-Benz;"Brasilien: Recherche zu mutmaßlichen Menschenrechts- und Umweltverstößen in den Aluminium-Lieferketten deutscher Fahrzeuge; inkl. Unternehmensantworten";Supply Chains;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-mercedes-benz/;https://www.business-humanrights.org/en/companies/mercedes-benz-group/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;MZ;Africa;Energy|Oil, gas & coal;15.11.2023;TotalEnergies Response;"Mozambique: Families of victims of terrorist attack sue TotalEnergies for 'involuntary manslaughter'; company denies allegations";Armed groups|Corporate criminal liability|Corporate Legal Accountability|Impact Assessment|Injuries|Killings|Lawsuits & regulatory action|Security Issues & Conflict Zones|Violence|Workers/Employees;Yes;Total Energy;https://www.business-humanrights.org/en/latest-news/total-energy-response/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;CA;;Oil, gas & coal;12.12.2023;Shell response to RCMP arrest of five land defenders;"Canada: Indigenous activists protest Coastal Gaslink pipeline construction & allege violations of UNDRIP; incl. company comments";Free, prior & informed consent|Human Rights Defenders|Indigenous Peoples|Land Rights|Lawsuits & regulatory action|Protests|Violence;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-to-rcmp-arrest-of-five-land-defenders/;https://www.business-humanrights.org/en/companies/shell-plc/;;
PetroChina (part of China National Petroleum Corporation);;CN;CA;;Oil, gas & coal;14.12.2023;PetroChina did not respond to RCMP arrest of five land defenders;"Canada: Indigenous activists protest Coastal Gaslink pipeline construction & allege violations of UNDRIP; incl. company comments";Free, prior & informed consent|Human Rights Defenders|Indigenous Peoples|Land Rights|Lawsuits & regulatory action|Protests|Violence;No;;https://www.business-humanrights.org/en/latest-news/petrochina-did-not-respond-to-rcmp-arrest-of-five-land-defenders/;https://www.business-humanrights.org/en/companies/petrochina-part-of-china-national-petroleum-corporation/;;
Nike|Ramatex;Clothing & textile|Footwear|Sporting goods;SG|US;KH|TH;;Clothing & textile;26.09.2023;Nike's response to wage theft allegations in Cambodia & Thailand;"Cambodia & Thailand: Investors & labour rights advocates call on Nike to pay more than 4000 garment workers unpaid wages of $2.2 million; incl. co. Response";Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/nikes-response-to-wage-theft-allegations-in-cambodia-thailand/;https://www.business-humanrights.org/en/companies/nike/|https://www.business-humanrights.org/en/companies/ramatex/;;
Inditex;Clothing & textile|Footwear|Retail;ES;MM;;;25.01.2024;Inditex's response to allegations of abuses in Myanmar garment factories - February 2024 Update;Myanmar: Garment workers face dismissal as reportedly company fails to pay subcontracted factories;;Yes;;https://www.business-humanrights.org/en/latest-news/inditexs-response-to-allegations-of-abuses-in-myanmar-garment-factories-february-2024-update/;https://www.business-humanrights.org/en/companies/inditex/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;MM;;;23.01.2024;H&M's response to allegations of abuses in Myanmar garment factories - February 2024 Update;"Myanmar: Garment workers reportedly denied leave at alleged H&M supplier; incl. co. Response";;Yes;;https://www.business-humanrights.org/en/latest-news/hms-response-to-allegations-of-abuses-in-myanmar-garment-factories-february-2024-update/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Nestlé;Food & beverage;CH;US;;Food & beverage;21.01.2024;Nestle responds to migrant child labour allegations within US supply chains;USA: Private auditors fail to detect child labour in supply chains of major supermarkets & renowned food brands;Child labour|Labour Rights|Migrants & Immigrants;Yes;Nestle;https://www.business-humanrights.org/en/latest-news/nestle-responds-to-migrant-child-labour-allegations-within-us-supply-chains/;https://www.business-humanrights.org/en/companies/nestlé/;;
PepsiCo;Food & beverage;US;RU|UA;Europe & Central Asia;Food & beverage;29.01.2024;PepsiCo did not respond;"PepsiCo allegedly bans references to Ukraine & its armed forces in ads to not alienate Russian market; co. didn't respond";Conflict & Peace|Security Issues & Conflict Zones|Trade;No;;https://www.business-humanrights.org/en/latest-news/pepsico-did-not-respond-2/;https://www.business-humanrights.org/en/companies/pepsico/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;BR;;Footwear;27.01.2024;Adidas' response to alleged links between leather and Amazon deforestation;Brazil: Adidas’ most popular sneakers allegedly linked to deforestation and modern slavery;Clean, Healthy & Sustainable Environment|Complicity|Forced Labour & Modern Slavery|Impact on notable or protected areas|Supply Chains;Yes;;https://www.business-humanrights.org/en/latest-news/adidas-response-to-alleged-links-between-leather-and-amazon-deforestation/;https://www.business-humanrights.org/en/companies/adidas/;;
Nestlé;Food & beverage;CH;BR;;Agriculture & livestock|Coffee|Food & beverage;29.01.2024;Nestlé response to the report “Bitter Brew”;Brazil: Coffee supply chain still tainted by slave labour, says report;Clean, Healthy & Sustainable Environment|Complicity|Forced Labour & Modern Slavery|Impact on notable or protected areas|Supply Chains;Yes;;https://www.business-humanrights.org/en/latest-news/nestlé-response-to-the-report-bitter-brew/;https://www.business-humanrights.org/en/companies/nestlé/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;29.01.2024;Shell PLC's response;"Norges Bank decides to extend 'special ownership' in Shell PLC & Eni SpA for activities in Niger Delta resulting to severe environmental damage; incl. co. Responses";Clean, Healthy & Sustainable Environment;Yes;;https://www.business-humanrights.org/en/latest-news/shell-plcs-response/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Rio Tinto;Mining;GB;MG;;Mining;11.12.2023;Rio Tinto's response;"Madagascar: Human rights defenders raising concerns about pollution at Rio Tinto's QMM mine experience violence & imprisonment; incl. co responses & civil society rejoinders";Clean, Healthy & Sustainable Environment|Freedom of Assembly|Freedom of Association|Human Rights Defenders|Protests;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tintos-response-12/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Rio Tinto;Mining;GB;MG;;Mining;16.02.2024;Rio Tinto's response;"Madagascar: Human rights defenders raising concerns about pollution at Rio Tinto's QMM mine experience violence & imprisonment; incl. co responses & civil society rejoinders";Clean, Healthy & Sustainable Environment|Human Rights Defenders|Protests|UN Guiding Principles on Business & Human Rights (UNGPs);Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tintos-response-13/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Glencore|Mutanda Mining;Metals & steel|Mining|Oil, gas & coal;CD|CH;CD;Africa;Mining;28.03.2024;Glencore's response;RDC: Glencore accusé de sous-payer les travailleurs de la mine de Mutanda;Fair & Equal Wages|Occupational Health & Safety;Yes;IndustriALL;https://www.business-humanrights.org/en/latest-news/rdc-glencore-accusé-de-sous-payer-les-travailleurs-de-la-mine-de-mutanda/;https://www.business-humanrights.org/en/companies/glencore/|https://www.business-humanrights.org/en/companies/mutanda-mining/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;CA;;Mining;28.03.2024;Glencore responded;Canada: Raglan mine's workers on strike over alleged labour rights abuses;;Yes;Pamela Bell, Glencore;https://www.business-humanrights.org/en/latest-news/glencore-responded-2/;https://www.business-humanrights.org/en/companies/glencore/;;
Nestlé;Food & beverage;CH;CH;Americas;Coffee;08.04.2024;Nestlé response;Mexico: Coffee farmers accuse Nestlé of a ruthless purchasing policy, they can't afford basic needs;Impacts on Livelihoods|Labour Rights|Poverty Wages|Protests;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/nestlé-response-11/;https://www.business-humanrights.org/en/companies/nestlé/;;
Rio Tinto;Mining;GB;RS;Europe & Central Asia;Mining;10.04.2024;Rio Tinto response;Fuelling injustice: Companies respond to allegations linked to transition minerals in EECA region;Clean, Healthy & Sustainable Environment|Impacts on Livelihoods|Personal Health;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tinto-response-6/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;CN|KH|PH|VN;;Clothing & textile;12.04.2024;adidas' response to 'Who pays for the crisis' tracker allegations - March 2024;"Indonesia: Multiple garment factories lay off workers amid reduced or non-existent buyer orders; incl. co. Responses";Purchasing practices;Yes;;https://www.business-humanrights.org/en/latest-news/adidas-response-to-who-pays-for-the-crisis-tracker-allegations-march-2024/;https://www.business-humanrights.org/en/companies/adidas/;;
